Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
NO_TASK (project-level only),(no task - project level),marketing - Ledgerlabs,,11549.4
NO_TASK (project-level only),(no task - project level),"Ledger Labs, Inc. / Emailing & Management",,11358.4
NO_TASK (project-level only),(no task - project level),Ledger Labs- / Emailing & Training,,9866.4
NO_TASK (project-level only),(no task - project level),Introductory Training,,9561.1
NO_TASK (project-level only),(no task - project level),Admin-Operational Works,,7669.7
NO_TASK (project-level only),(no task - project level),Tax-Compliance Taks -(Common),,4145.6
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,30yky1g,3936.2
NO_TASK (project-level only),(no task - project level),Operations - Synergy / NB Tasks - Synergy,,3274.6
REMOTE_MISSING (id not in ClickUp),Prepare list of Task & Delegate into Team,Operations - Synergy / 19Y Advisors_David,31a1kga,3182.7
REMOTE_MISSING (id not in ClickUp),Email Management & Tasks Delegation,Operations - Synergy / 19Y Advisors_David,85ztmh32z,1771.9
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85zt8nf0q,1631.8
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85zu2165e,1511.9
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / Optomec_Dan (H),,1505.7
NO_TASK (project-level only),(no task - project level),Admin / New Initiatives (Allison's Tasks),,1288.8
REMOTE_MISSING (id not in ClickUp),Email Management: Daily emails and Allocate work,Operations - Synergy / T1_Ward (F),86curvdq1,1263.0
NO_TASK (project-level only),(no task - project level),HR & Admin Task / Compensation & Benefits,,1239.3
REMOTE_MISSING (id not in ClickUp),NB - ClickUp & Task Management,Operations - Falcons / NB Tasks - Falcons,86cv3p97c,1175.3
REMOTE_MISSING (id not in ClickUp),Training/Helping In the Projects,Ledger Labs- / Emailing & Training,85zt24w1y,1163.8
REMOTE_MISSING (id not in ClickUp),Research & Development,Operations - Synergy / 19Y Advisors_David,31a2n3h,1153.4
NO_REMOTE (native Hubstaff task),Email Managment & Task Delegation,Admin-Operational Works,,1033.2
REMOTE_MISSING (id not in ClickUp),Inbox Management & Task Delegation,Admin-Operational Works,15322674,997.1
NO_TASK (project-level only),(no task - project level),Operations - Syndicate / NB Tasks - Syndicates,,947.5
NO_REMOTE (native Hubstaff task),Tax & Compliance Work,Admin-Operational Works,,921.4
NO_TASK (project-level only),(no task - project level),Operations - Mavericks / NB Tasks - Mavericks,,919.7
REMOTE_MISSING (id not in ClickUp),NB - Inbox Management & Task Delegation,Operations - Falcons / NB Tasks - Falcons,86cv3p97a,894.7
