ClickUp Space (raw),==> Department (rule: before ' - '),==> Team (rule: after ' - '),ClickUp tasks
Archived Projects- Ledger Labs-,Archived Projects,Archived Projects,14129
Operations - Titans,Operations,Titans,13626
Operations - Syndicate,Operations,Syndicate,9670
Operations - Alliance,Operations,Alliance,6396
HR Department,HR,HR,5773
Operations - Synergy,Operations,Synergy,3670
Onboarding Clients,Onboarding,Onboarding,2337
Marketing,Marketing,Marketing,2262
Operations - Mavericks,Operations,Mavericks,2101
Operations - Falcons,Operations,Falcons,1806
Admin,Admin,Admin,1277
Client Tracking-Tax Filing,Client Tracking,Client Tracking,669
HR (OLD),HR (OLD),HR (OLD),357
HR - LedgerLabs,HR,LedgerLabs,311
Praduman Singh,Praduman Singh,Praduman Singh,111
Tax Department,Tax,Tax,61
Personal,Personal,Personal,59
Project sharing with client,Project sharing with client,Project sharing with client,45
