Month,Matched_h,RemoteMissing_h,NoRemote_h,NoTask_h,Total_h,Overall_match_%,Task_link_%(of tasked time)
2023-01,2588.9,3466.9,0.0,0.0,6055.8,42.8,42.8
2023-02,2257.1,3253.5,0.0,0.0,5510.6,41.0,41.0
2023-03,2545.5,3484.4,0.0,0.0,6029.9,42.2,42.2
2023-04,1610.8,1920.4,0.0,0.0,3531.2,45.6,45.6
2023-05,91.3,187.5,0.0,0.0,278.9,32.7,32.7
2023-06,2490.1,4515.7,0.0,0.0,7005.8,35.5,35.5
2023-07,3083.9,4027.1,0.0,2.7,7113.6,43.4,43.4
2023-08,3693.0,3403.1,8.5,11.5,7116.1,51.9,52.0
2023-09,4189.0,2852.6,2.1,0.0,7043.7,59.5,59.5
2023-10,2736.6,4152.5,0.0,5.1,6894.1,39.7,39.7
2023-11,3098.5,2981.7,92.6,366.8,6539.6,47.4,51.0
2023-12,3475.9,2057.6,360.7,665.1,6559.3,53.0,62.8
2024-01,4490.8,2277.4,157.5,1256.4,8182.0,54.9,66.4
2024-02,4427.1,1986.5,113.0,1361.6,7888.3,56.1,69.0
2024-03,4459.9,1582.6,65.4,1672.7,7780.5,57.3,73.8
2024-04,4427.9,2283.5,13.4,2017.9,8742.8,50.6,66.0
2024-05,5438.5,1671.5,211.7,2371.5,9693.2,56.1,76.5
2024-06,4779.6,1598.8,447.7,1515.2,8341.4,57.3,74.9
2024-07,5595.7,1761.1,489.4,2342.8,10188.9,54.9,76.1
2024-08,5080.2,1344.0,352.6,1839.4,8616.3,59.0,79.1
2024-09,5478.1,1895.3,135.0,1853.4,9361.8,58.5,74.3
2024-10,4601.5,1941.6,253.6,2098.4,8895.2,51.7,70.3
2024-11,4355.6,1773.9,411.1,1796.9,8337.5,52.2,71.1
2024-12,4463.5,1860.3,646.0,1659.5,8629.3,51.7,70.6
2025-01,5454.8,2144.8,815.9,2145.3,10560.6,51.7,71.8
2025-02,4639.4,2110.1,258.1,2256.2,9263.9,50.1,68.7
2025-03,5226.0,2566.4,0.0,1970.1,9762.5,53.5,67.1
2025-04,5357.7,3069.8,0.0,2388.9,10816.3,49.5,63.6
2025-05,5445.2,2159.4,0.0,2449.3,10054.0,54.2,71.6
2025-06,5127.4,2155.8,0.0,1912.8,9196.0,55.8,70.4
2025-07,5867.0,2118.0,0.0,2900.9,10885.8,53.9,73.5
2025-08,5419.9,1396.9,0.0,3243.0,10059.8,53.9,79.5
2025-09,5959.2,1568.5,0.0,2825.2,10352.9,57.6,79.2
2025-10,4879.2,1580.3,0.0,3230.5,9690.0,50.4,75.5
2025-11,4909.0,1346.8,0.0,3706.1,9961.9,49.3,78.5
2025-12,5309.9,907.3,0.0,4245.8,10462.9,50.7,85.4
2026-01,6311.6,815.6,0.0,3612.0,10739.2,58.8,88.6
2026-02,6036.4,712.8,0.0,3443.2,10192.4,59.2,89.4
2026-03,6382.0,924.9,0.0,3195.7,10502.5,60.8,87.3
2026-04,6939.5,776.4,0.0,2970.4,10686.4,64.9,89.9
2026-05,6107.4,757.1,0.0,2842.2,9706.7,62.9,89.0
2026-06,2370.9,320.2,0.0,932.1,3623.2,65.4,88.1
